"species","sppgrp"
"Norway spruce","Spruce"
"Brewer spruce","Spruce"
"Engelmann spruce","Spruce"
"white spruce","Spruce"
"black spruce","Spruce"
"blue spruce","Spruce"
"red spruce","Spruce"
"treadsoftly","Mixed hardwood"
"uvilla","Mixed hardwood"
"whitewood","Mixed hardwood"
"puckhout","Mixed hardwood"
"pale seagrape","Mixed hardwood"
"grandleaf seagrape","Mixed hardwood"
"uvera","Mixed hardwood"
"ortegon","Mixed hardwood"
"uvero de monte","Mixed hardwood"
"Swartz's pigeonplum","Mixed hardwood"
"Bahama pigeonplum","Mixed hardwood"
"seagrape","Mixed hardwood"
"false chiggergrape","Mixed hardwood"
"Coccothrinax barbadensis","Mixed hardwood"
"silk cottontree","Mixed hardwood"
"garden croton","Mixed hardwood"
"Arabian coffee","Mixed hardwood"
"Coffea liberica","Mixed hardwood"
"Cojoba arborea","Mixed hardwood"
"abata cola","Mixed hardwood"
"greenheart","Mixed hardwood"
"Urban's nakedwood","Mixed hardwood"
"poison ash","Mixed hardwood"
"carrasco","Mixed hardwood"
"Luquillo Mountain snailwood","Mixed hardwood"
"Consolea moniliformis","Mixed hardwood"
"Consolea rubescens","Mixed hardwood"
"copaiba","Mixed hardwood"
"Spanish elm","Mixed hardwood"
"muneco","Mixed hardwood"
"red manjack","Mixed hardwood"
"smooth manjack","Mixed hardwood"
"clammy cherry","Mixed hardwood"
"San Bartolome","Mixed hardwood"
"Puerto Rico manjack","Mixed hardwood"
"Guyanese pepper","Mixed hardwood"
"Jamaican pepper","Mixed hardwood"
"Caracas pepper","Mixed hardwood"
"marigold pepper","Mixed hardwood"
"spanish elder","Mixed hardwood"
"stinkwood","Mixed hardwood"
"corcho bobo","Mixed hardwood"
"water mampoo","Mixed hardwood"
"monkeypod","Mixed hardwood"
"catclaw blackbead","Mixed hardwood"
"Oriental arborvitae","Pine"
"chupa gallo","Mixed hardwood"
"nosegaytree","Mixed hardwood"
"Singapore graveyard flower","Mixed hardwood"
"Plumeria obtusa","Mixed hardwood"
"templetree","Mixed hardwood"
"yucca plum pine","Mixed hardwood"
"Poitea florida","Mixed hardwood"
"Poitea punicea","Mixed hardwood"
"violet tree","Mixed hardwood"
"crevajosa","Mixed hardwood"
"geranium aralia","Mixed hardwood"
"Sitka spruce","Spruce"
"pine spp.","Pine"
"whitebark pine","Pine"
"Rocky Mountain bristlecone pine","Pine"
"knobcone pine","Pine"
"foxtail pine","Pine"
"jack pine","Pine"
"common or two-needle pinyon","Juniper/oak/mesquite"
"sand pine","Pine"
"lodgepole pine","Pine"
"Coulter pine","Pine"
"shortleaf pine","Pine"
"slash pine","Pine"
"Apache pine","Pine"
"limber pine","Pine"
"southwestern white pine","Pine"
"spruce pine","Pine"
"Jeffrey pine","Pine"
"sugar pine","Pine"
"Chihuahua pine","Pine"
"western white pine","Pine"
"bishop pine","Pine"
"longleaf pine","Pine"
"ponderosa pine","Pine"
"Table Mountain pine","Pine"
"Monterey pine","Pine"
"red pine","Pine"
"pitch pine","Pine"
"gray or California foothill pine","Pine"
"pond pine","Pine"
"eastern white pine","Pine"
"Scotch pine","Pine"
"loblolly pine","Pine"
"Virginia pine","Pine"
"singleleaf pinyon","Juniper/oak/mesquite"
"border pinyon","Juniper/oak/mesquite"
"Arizona pine","Pine"
"Austrian pine","Pine"
"Washoe pine","Pine"
"four-leaf or Parry pinyon pine","Juniper/oak/mesquite"
"Torrey pine","Pine"
"Mexican pinyon pine","Juniper/oak/mesquite"
"Papershell pinyon pine","Juniper/oak/mesquite"
"Great Basin bristlecone pine","Pine"
"Arizona pinyon pine","Juniper/oak/mesquite"
"Honduras pine","Pine"
"Douglas-fir spp.","Douglas-fir"
"bigcone Douglas-fir","Douglas-fir"
"mucilage manjack","Mixed hardwood"
"nigua","Mixed hardwood"
"azulejo","Mixed hardwood"
"Corymbia citriodora","Mixed hardwood"
"cannonball tree","Mixed hardwood"
"common calabash tree","Mixed hardwood"
"higuerito","Mixed hardwood"
"higuero de sierra","Mixed hardwood"
"Critonia portoricensis","Mixed hardwood"
"maidenberry","Mixed hardwood"
"wild marrow","Mixed hardwood"
"Croton flavens","Mixed hardwood"
"sabinon","Mixed hardwood"
"Japanese cedar","Pine"
"Chinese fir","Pine"
"wild ackee","Mixed hardwood"
"guara blanca","Mixed hardwood"
"cedar-of-Goa","Pine"
"Italian cypress","Pine"
"parrotfeather treefern","Mixed hardwood"
"West Indian treefern","Mixed hardwood"
"Jamaican treefern","Mixed hardwood"
"small treefern","Mixed hardwood"
"cocuyo","Mixed hardwood"
"redmammee","Mixed hardwood"
"bullytree","Mixed hardwood"
"mammee sapote","Mixed hardwood"
"Prestoea acuminata","Mixed hardwood"
"guasimilla","Mixed hardwood"
"jand","Mixed hardwood"
"kiawe","Mixed hardwood"
"West Indian cherry","Mixed hardwood"
"western cherry laurel","Mixed hardwood"
"Prunus serotina","Mixed hardwood"
"false breadnut","Mixed hardwood"
"Florida cherry palm","Mixed hardwood"
"mountain guava","Mixed hardwood"
"guava","Mixed hardwood"
"Psidium longipes","Mixed hardwood"
"Sintenis' guava","Mixed hardwood"
"cachimbo-cumun","Mixed hardwood"
"palo de cachimbo","Mixed hardwood"
"Browne's wild coffee","Mixed hardwood"
"Psychotria domingensis","Mixed hardwood"
"cachimbo grande","Mixed hardwood"
"Douglas-fir","Douglas-fir"
"redwood","Cedar/larch"
"giant sequoia","Cedar/larch"
"baldcypress spp.","Cedar/larch"
"baldcypress","Cedar/larch"
"pondcypress","Cedar/larch"
"Montezuma baldcypress","Cedar/larch"
"yew spp.","True fir/hemlock"
"Pacific yew","True fir/hemlock"
"Florida yew","True fir/hemlock"
"thuja spp.","Cedar/larch"
"northern white-cedar","Cedar/larch"
"western redcedar","Cedar/larch"
"torreya (nutmeg) spp.","True fir/hemlock"
"California torreya (nutmeg)","True fir/hemlock"
"Florida torreya (nutmeg)","True fir/hemlock"
"hemlock spp.","True fir/hemlock"
"eastern hemlock","True fir/hemlock"
"Carolina hemlock","True fir/hemlock"
"western hemlock","True fir/hemlock"
"mountain hemlock","True fir/hemlock"
"Unknown dead conifer","Pine"
"acacia spp.","Juniper/oak/mesquite"
"sweet acacia","Juniper/oak/mesquite"
"catclaw acacia","Juniper/oak/mesquite"
"maple spp.","Soft maple/birch"
"Florida maple","Soft maple/birch"
"bigleaf maple","Soft maple/birch"
"boxelder","Soft maple/birch"
"black maple","Hard maple/oak/hickory/beech"
"striped maple","Soft maple/birch"
"red maple","Soft maple/birch"
"silver maple","Soft maple/birch"
"sugar maple","Hard maple/oak/hickory/beech"
"mountain maple","Soft maple/birch"
"Norway maple","Soft maple/birch"
"Rocky Mountain maple","Juniper/oak/mesquite"
"bigtooth maple","Juniper/oak/mesquite"
"chalk maple","Mixed hardwood"
"buckeye, horsechestnut spp.","Mixed hardwood"
"Ohio buckeye","Mixed hardwood"
"yellow buckeye","Mixed hardwood"
"California buckeye","Mixed hardwood"
"Texas buckeye","Mixed hardwood"
"red buckeye","Mixed hardwood"
"painted buckeye","Mixed hardwood"
"ailanthus","Mixed hardwood"
"mimosa, silktree","Mixed hardwood"
"alder spp.","Aspen/alder/cottonwood/willow"
"helecho gigante","Mixed hardwood"
"Cybianthus sintenisii","Mixed hardwood"
"queen sago","Mixed hardwood"
"oreganillo falso","Mixed hardwood"
"swamp titi","Mixed hardwood"
"candletree","Mixed hardwood"
"Indian rosewood","Mixed hardwood"
"burn nose","Mixed hardwood"
"Heller's cieneguillo","Mixed hardwood"
"emajagua de sierra","Mixed hardwood"
"royal poinciana","Mixed hardwood"
"angelica tree","Mixed hardwood"
"palo de vaca","Mixed hardwood"
"chulta","Mixed hardwood"
"Dimocarpus longan","Mixed hardwood"
"black apple","Mixed hardwood"
"Chinese persimmon","Mixed hardwood"
"jaboncillo","Mixed hardwood"
"Florida hopbush","Mixed hardwood"
"Ceylon gooseberry","Mixed hardwood"
"fragrant dracaena","Mixed hardwood"
"cafeillo","Mixed hardwood"
"varital","Mixed hardwood"
"rosewood","Mixed hardwood"
"guiana plum","Mixed hardwood"
"cachimbo de gato","Mixed hardwood"
"cachimbo de maricao","Mixed hardwood"
"thicket wild coffee","Mixed hardwood"
"floating balsamo","Mixed hardwood"
"hairy wild coffee","Mixed hardwood"
"pterocarpus","Mixed hardwood"
"Burma padauk","Mixed hardwood"
"Malabar kino","Mixed hardwood"
"dragonsblood tree","Mixed hardwood"
"pomegranate","Mixed hardwood"
"swizzlestick tree","Mixed hardwood"
"white indigoberry","Mixed hardwood"
"palo amargo","Mixed hardwood"
"traveler's tree","Mixed hardwood"
"tortugo prieto","Mixed hardwood"
"guama","Mixed hardwood"
"Krug's darlingplum","Mixed hardwood"
"sloe","Mixed hardwood"
"castorbean","Mixed hardwood"
"greenheart ebony","Mixed hardwood"
"Rochefortia spinosa","Mixed hardwood"
"wild sugar apple","Mixed hardwood"
"cordobancillo","Mixed hardwood"
"cordobancillo peludo","Mixed hardwood"
"Juan Tomas","Mixed hardwood"
"Puerto Rico royal palm","Mixed hardwood"
"Roystonea elata","Mixed hardwood"
"red alder","Aspen/alder/cottonwood/willow"
"white alder","Aspen/alder/cottonwood/willow"
"Arizona alder","Aspen/alder/cottonwood/willow"
"European alder","Aspen/alder/cottonwood/willow"
"serviceberry spp.","Mixed hardwood"
"common serviceberry","Mixed hardwood"
"roundleaf serviceberry","Mixed hardwood"
"madrone spp.","Mixed hardwood"
"Pacific madrone","Mixed hardwood"
"Arizona madrone","Mixed hardwood"
"Texas madrone","Juniper/oak/mesquite"
"pawpaw","Mixed hardwood"
"birch spp.","Soft maple/birch"
"yellow birch","Soft maple/birch"
"sweet birch","Soft maple/birch"
"river birch","Soft maple/birch"
"water birch","Soft maple/birch"
"paper birch","Soft maple/birch"
"Virginia roundleaf birch","Soft maple/birch"
"northwestern paper birch","Soft maple/birch"
"gray birch","Soft maple/birch"
"chittamwood, gum bumelia","Mixed hardwood"
"American hornbeam, musclewood","Mixed hardwood"
"hickory spp.","Hard maple/oak/hickory/beech"
"water hickory","Hard maple/oak/hickory/beech"
"bitternut hickory","Hard maple/oak/hickory/beech"
"pignut hickory","Hard maple/oak/hickory/beech"
"pecan","Hard maple/oak/hickory/beech"
"shellbark hickory","Hard maple/oak/hickory/beech"
"nutmeg hickory","Hard maple/oak/hickory/beech"
"shagbark hickory","Hard maple/oak/hickory/beech"
"black hickory","Hard maple/oak/hickory/beech"
"mockernut hickory","Hard maple/oak/hickory/beech"
"sand hickory","Hard maple/oak/hickory/beech"
"scrub hickory","Hard maple/oak/hickory/beech"
"red hickory","Hard maple/oak/hickory/beech"
"southern shagbark hickory","Hard maple/oak/hickory/beech"
"chestnut spp.","Mixed hardwood"
"American chestnut","Mixed hardwood"
"Allegheny chinkapin","Mixed hardwood"
"Ozark chinkapin","Mixed hardwood"
"Chinese chestnut","Mixed hardwood"
"giant chinkapin, golden chinkapin","Mixed hardwood"
"catalpa spp.","Mixed hardwood"
"southern catalpa","Mixed hardwood"
"northern catalpa","Mixed hardwood"
"hackberry spp.","Mixed hardwood"
"sugarberry","Mixed hardwood"
"hackberry","Mixed hardwood"
"golden dewdrops","Mixed hardwood"
"Dypsis lutescens","Mixed hardwood"
"monkeysoap","Mixed hardwood"
"loquat","Mixed hardwood"
"blacktorch","Mixed hardwood"
"machete","Mixed hardwood"
"coral erythrina","Mixed hardwood"
"crybabytree","Mixed hardwood"
"cock's spur","Mixed hardwood"
"bucayo","Mixed hardwood"
"mountain immortelle","Mixed hardwood"
"tiger's claw","Mixed hardwood"
"swamp-redwood","Mixed hardwood"
"ratwood","Mixed hardwood"
