"StandID","Year","Aboveground_Total_Live","Aboveground_Merch_Live","Belowground_Live","Belowground_Dead","Standing_Dead","Forest_Down_Dead_Wood","Forest_Floor","Forest_Shrub_Herb","Total_Stand_Carbon","Total_Removed_Carbon","Carbon_Released_From_Fire","Stand_CN","time","FOR","hard_pulp","soft_pulp","hard_saw","soft_saw","tot_tC_ac_100"
"OAK_GROW",2033,58.6293869018555,39.040943145752,14.1433525085449,2.97742962837219,7.21019124984741,11.1762294769287,4.41783142089844,1.28000009059906,99.8344192504883,0,0,"189295921020004",20,"OAK",0,0,0,0,0
"OAK_GROW",2038,59.6919326782227,40.0538444519043,14.5175952911377,3.34529280662537,6.48362922668457,12.5672130584717,4.59649610519409,1.28000009059906,102.482154846191,0,0,"189295921020004",25,"OAK",0,0,0,0,0
"OAK_BAU",2014,31.3770904541016,21.0737190246582,5.87455129623413,0.256936877965927,1.53246784210205,4.5910005569458,7.96701717376709,0.560000002384186,52.1590614318848,0,0,"189295924020004",0,"OAK",0,0,0,0,0
"OAK_BAU",2019,29.403995513916,17.8710765838623,5.43485069274902,1.63791239261627,1.82849287986755,5.39262533187866,2.16242742538452,0.699999988079071,46.5602989196777,5.09895896911621,0,"189295924020004",5,"OAK",0.31506588836023,0,0.77202404933512,0,1.08708993769535
"OAK_BAU",2024,32.3887672424316,18.6324424743652,6.21261644363403,1.7227463722229,2.68476557731628,7.15123653411865,2.20210337638855,0.939999997615814,53.3022346496582,0,0,"189295924020004",10,"OAK",0,0,0,0,0
"OAK_BAU",2029,35.9188995361328,19.6460475921631,7.16213464736938,1.73890745639801,2.40826511383057,8.26362705230713,2.43146252632141,1.28000009059906,59.2032928466797,0,0,"189295924020004",15,"OAK",0,0,0,0,0
"OAK_BAU",2034,36.9912948608398,21.812084197998,7.5614800453186,2.02710199356079,3.46912431716919,9.4401216506958,2.66141128540039,1.28000009059906,63.430534362793,0,0,"189295924020004",20,"OAK",0,0,0,0,0
"OAK_BAU",2039,37.8560676574707,22.6421661376953,7.84129905700684,2.29757452011108,3.72279191017151,10.5365753173828,2.8127748966217,1.28000009059906,66.3470840454102,0,0,"189295924020004",25,"OAK",0,0,0,0,0
"OAK_GROW",2014,31.3770904541016,21.0737190246582,5.87455129623413,0.256936877965927,1.53246784210205,4.5910005569458,7.96701717376709,0.560000002384186,52.1590614318848,0,0,"189295924020004",0,"OAK",0,0,0,0,0
"OAK_GROW",2019,35.8388290405273,22.8557548522949,6.66841745376587,0.39033779501915,1.85835635662079,3.9658579826355,2.06593918800354,0.699999988079071,51.4877433776855,0,0,"189295924020004",5,"OAK",0,0,0,0,0
"OAK_GROW",2024,39.1505813598633,23.7540969848633,7.55410289764404,0.772347509860992,2.97055196762085,6.14269208908081,2.33115768432617,0.939999997615814,59.8614311218262,0,0,"189295924020004",10,"OAK",0,0,0,0,0
"OAK_GROW",2029,42.1337585449219,26.5968589782715,8.36052703857422,1.09982049465179,3.19842195510864,7.84165000915527,2.56893992424011,1.28000009059906,66.4831161499023,0,0,"189295924020004",15,"OAK",0,0,0,0,0
"OAK_GROW",2034,42.875675201416,27.1881885528564,8.66575622558594,1.60826432704926,4.26949119567871,9.31074333190918,2.77907133102417,1.28000009059906,70.7889938354492,0,0,"189295924020004",20,"OAK",0,0,0,0,0
"OAK_GROW",2039,43.4452476501465,27.7159595489502,8.89084339141846,1.95959305763245,4.21410512924194,10.4524879455566,2.9269449710846,1.28000009059906,73.1692276000977,0,0,"189295924020004",25,"OAK",0,0,0,0,0
"OAK_BAU",2014,23.3949699401855,16.4493885040283,4.80277824401855,4.43752479553223,4.29962491989136,6.79814624786377,4.04917144775391,1.43999993801117,49.2222137451172,12.9760065078735,0,"189295940020004",0,"OAK",1.36774554090562,0,1.79054600525479,0,3.1582915461604
"OAK_BAU",2019,28.0883445739746,19.4293785095215,5.72003984451294,3.5995819568634,1.57767200469971,6.80473184585571,2.8836829662323,1.58000004291534,50.2540550231934,0,0,"189295940020004",5,"OAK",0,0,0,0,0
"OAK_BAU",2024,22.31174659729,14.8491268157959,4.59216403961182,4.98477506637573,0.387276649475098,8.91207122802734,3.22999620437622,1.82000005245209,46.2380294799805,7.59782266616821,0,"189295940020004",10,"OAK",0.734327696418732,0,1.0895080605411,0,1.82383575695984
"OAK_BAU",2029,26.4183692932129,17.073055267334,5.57710456848145,4.04131984710693,0.185277789831161,6.92284870147705,3.02042579650879,2.16000008583069,48.3253440856934,0,0,"189295940020004",15,"OAK",0,0,0,0,0
"OAK_BAU",2034,25.1427841186523,15.3673524856567,5.43918657302856,4.3808536529541,0.208579763770103,6.82640886306763,3.28208136558533,2.16000008583069,47.4398956298828,3.99852800369263,0,"189295940020004",20,"OAK",0.308435337700494,0,0.623651130582014,0,0.932086468282509
"OAK_BAU",2039,26.3833236694336,15.6543664932251,5.796067237854,4.1307520866394,0.206877961754799,6.32433223724365,3.29006028175354,2.16000008583069,48.2914161682129,2.05169916152954,0,"189295940020004",25,"OAK",0.143832011500953,0,0.329199774980244,0,0.473031786481197
"OAK_GROW",2014,40.9509811401367,29.4253959655762,8.37291049957275,0.867391884326935,4.29962491989136,2.59500002861023,3.77029991149902,1.43999993801117,62.2962074279785,0,0,"189295940020004",0,"OAK",0,0,0,0,0
"OAK_GROW",2019,44.7324676513672,32.0061416625977,9.13172149658203,1.13260102272034,3.78278636932373,4.3736400604248,3.2997715473175,1.58000004291534,68.0329895019531,0,0,"189295940020004",5,"OAK",0,0,0,0,0
