"CaseID","StandID","Year","Age","Tpa","BA","SDI","CCF","TopHt","QMD","MCuFt","SCuFt","SBdFt","RTpa","RMCuFt","RSCuFt","RSBdFt","ATBA","ATSDI","ATCCF","ATTopHt","ATQMD","PrdLen","Acc","Mort","MAI","ForTyp","SizeCls","StkCls","Stand_CN"
"9d0b9c9e-7a74-4d4e-97e3-1c2d92621d19","MBB_GROW",2045,99,289,136,228,236,87,9.30690097808838,3575,2405,12708,0,0,0,0,136,228,236,87,9.30690097808838,0,0,0,36.1111106872559,801,1,1,"291609308489998"
"2e748969-90ef-4d8d-a441-10bfaf766914","MBB_GROW",2016,60,7740,64,149,155,66,1.22821164131165,833,169,684,0,0,0,0,64,149,155,66,1.22821164131165,5,35,6,13.8833332061768,503,2,3,"291609223489998"
"2e748969-90ef-4d8d-a441-10bfaf766914","MBB_GROW",2021,65,5131,92,250,234,72,1.80845975875854,980,480,2031,0,0,0,0,92,250,234,72,1.80845975875854,5,39,18,15.0769233703613,503,1,2,"291609223489998"
"2e748969-90ef-4d8d-a441-10bfaf766914","MBB_GROW",2026,70,2863,115,303,314,76,2.71612024307251,1084,593,2530,0,0,0,0,115,303,314,76,2.71612024307251,5,72,12,15.4857139587402,503,1,2,"291609223489998"
"2e748969-90ef-4d8d-a441-10bfaf766914","MBB_GROW",2031,75,1957,123,305,337,80,3.38952922821045,1384,790,3495,0,0,0,0,123,305,337,80,3.38952922821045,5,50,16,18.453332901001,801,3,2,"291609223489998"
"2e748969-90ef-4d8d-a441-10bfaf766914","MBB_GROW",2036,80,1500,128,304,346,86,3.95487785339355,1555,899,4216,0,0,0,0,128,304,346,86,3.95487785339355,5,73,15,19.4375,801,3,1,"291609223489998"
"2e748969-90ef-4d8d-a441-10bfaf766914","MBB_GROW",2041,85,1229,133,303,349,89,4.46260356903076,1841,1040,5128,0,0,0,0,133,303,349,89,4.46260356903076,5,78,17,21.6588230133057,801,3,1,"291609223489998"
"2e748969-90ef-4d8d-a441-10bfaf766914","MBB_GROW",2046,90,1021,139,303,350,92,5.0028076171875,2145,1202,5847,0,0,0,0,139,303,350,92,5.0028076171875,0,0,0,23.8333339691162,801,1,1,"291609223489998"
"314ea7f6-96b7-4089-a481-702c47a163eb","MBB_GROW",2015,54,4776,103,206,253,83,1.98449242115021,2068,1345,6534,0,0,0,0,103,206,253,83,1.98449242115021,5,57,17,38.2962951660156,520,1,2,"291609758489998"
"314ea7f6-96b7-4089-a481-702c47a163eb","MBB_GROW",2020,59,3044,114,231,274,84,2.62176966667175,2272,1495,7614,0,0,0,0,114,231,274,84,2.62176966667175,5,59,16,38.5084762573242,520,1,2,"291609758489998"
"314ea7f6-96b7-4089-a481-702c47a163eb","MBB_GROW",2025,64,2665,136,290,343,85,3.05991077423096,2491,1728,8628,0,0,0,0,136,290,343,85,3.05991077423096,5,61,34,38.921875,503,1,1,"291609758489998"
